,sequences,sequence_tok
0,Indonesia has become Asia ’ s hot spot with a record number of coronavirus cases in the region .,"['Indonesia', 'has', 'become', 'Asia', '’', 's', 'hot', 'spot', 'with', 'a', 'record', 'number', 'of', 'coronavirus', 'cases', 'in', 'the', 'region', '.']"
1,"10 , 2021 A second cattle death in 2021 from anthrax has been reported in Kidder County , North Dakota .","['10', ',', '2021', 'A', 'second', 'cattle', 'death', 'in', '2021', 'from', 'anthrax', 'has', 'been', 'reported', 'in', 'Kidder', 'County', ',', 'North', 'Dakota', '.']"
2,"The latest figures come after a bank holiday weekend when the number of deaths and cases can be lower due to reporting delays.But despite this undoubtedly good news we know we haven ’ t beaten this virus yet , and with cases continuing to rise please remember hands , face , space and let in fresh air when indoors , and of course , make sure when you can you get both jabs .","['The', 'latest', 'figures', 'come', 'after', 'a', 'bank', 'holiday', 'weekend', 'when', 'the', 'number', 'of', 'deaths', 'and', 'cases', 'can', 'be', 'lower', 'due', 'to', 'reporting', 'delays.But', 'despite', 'this', 'undoubtedly', 'good', 'news', 'we', 'know', 'we', 'haven', '’', 't', 'beaten', 'this', 'virus', 'yet', ',', 'and', 'with', 'cases', 'continuing', 'to', 'rise', 'please', 'remember', 'hands', ',', 'face', ',', 'space', 'and', 'let', 'in', 'fresh', 'air', 'when', 'indoors', ',', 'and', 'of', 'course', ',', 'make', 'sure', 'when', 'you', 'can', 'you', 'get', 'both', 'jabs', '.']"
3,"Tan Tock Seng Hospital ’ s Ward 9D will resume patient admissions on May 22 , 2021 , after enhancing safety measures including high efficiency air filters and exhaust fans to enhance ventilation and airflow .","['Tan', 'Tock', 'Seng', 'Hospital', '’', 's', 'Ward', '9D', 'will', 'resume', 'patient', 'admissions', 'on', 'May', '22', ',', '2021', ',', 'after', 'enhancing', 'safety', 'measures', 'including', 'high', 'efficiency', 'air', 'filters', 'and', 'exhaust', 'fans', 'to', 'enhance', 'ventilation', 'and', 'airflow', '.']"
4,But not everyone shares his optimism .,"['But', 'not', 'everyone', 'shares', 'his', 'optimism', '.']"
5,"25 : 1,541 new cases on 14,856 tests ( 10.37 per cent positive ) Sept .","['25', ':', '1,541', 'new', 'cases', 'on', '14,856', 'tests', '(', '10.37', 'per', 'cent', 'positive', ')', 'Sept', '.']"
6,"Within a month , Emile ’ s mother , sister and grandmother all succumbed to the virus .","['Within', 'a', 'month', ',', 'Emile', '’', 's', 'mother', ',', 'sister', 'and', 'grandmother', 'all', 'succumbed', 'to', 'the', 'virus', '.']"
7,Bloomfield said there are appropriate isolation and infection prevention and control plans in place at all hospitals where Covid-19 patients are being managed .,"['Bloomfield', 'said', 'there', 'are', 'appropriate', 'isolation', 'and', 'infection', 'prevention', 'and', 'control', 'plans', 'in', 'place', 'at', 'all', 'hospitals', 'where', 'Covid-19', 'patients', 'are', 'being', 'managed', '.']"
8,"However , no cases have been reported where the World Health Organization and Europe have confirmed leukemia and causality .","['However', ',', 'no', 'cases', 'have', 'been', 'reported', 'where', 'the', 'World', 'Health', 'Organization', 'and', 'Europe', 'have', 'confirmed', 'leukemia', 'and', 'causality', '.']"
9,"In addition to urging people to get vaccinated and to stop killing monkeys , Brazilian officials are telling people to eliminate places with stagnant water where mosquitoes can breed , like discarded tires or shower floors .","['In', 'addition', 'to', 'urging', 'people', 'to', 'get', 'vaccinated', 'and', 'to', 'stop', 'killing', 'monkeys', ',', 'Brazilian', 'officials', 'are', 'telling', 'people', 'to', 'eliminate', 'places', 'with', 'stagnant', 'water', 'where', 'mosquitoes', 'can', 'breed', ',', 'like', 'discarded', 'tires', 'or', 'shower', 'floors', '.']"
10,"It ’ s terribly scary.It ’ s horrifying particularly because we don ’ t know what this is , Jim Monsma , the executive director of City Wildlife , an animal charity in Washington DC , said in May .","['It', '’', 's', 'terribly', 'scary.It', '’', 's', 'horrifying', 'particularly', 'because', 'we', 'don', '’', 't', 'know', 'what', 'this', 'is', ',', 'Jim', 'Monsma', ',', 'the', 'executive', 'director', 'of', 'City', 'Wildlife', ',', 'an', 'animal', 'charity', 'in', 'Washington', 'DC', ',', 'said', 'in', 'May', '.']"
11,""" Nine new deaths With nine new deaths reported Tuesday , there have now been 2,471 COVID deaths in the province .","['""', 'Nine', 'new', 'deaths', 'With', 'nine', 'new', 'deaths', 'reported', 'Tuesday', ',', 'there', 'have', 'now', 'been', '2,471', 'COVID', 'deaths', 'in', 'the', 'province', '.']"
12,"Albania , Kosovo record first avian flu outbreaks in poultry - WATTAgNet Industry News & amp ; Trends Albania , Kosovo record first avian flu outbreaks in poultry WATTAgNet Industry News & amp ; Trends .","['Albania', ',', 'Kosovo', 'record', 'first', 'avian', 'flu', 'outbreaks', 'in', 'poultry', '-', 'WATTAgNet', 'Industry', 'News', '&', 'amp', ';', 'Trends', 'Albania', ',', 'Kosovo', 'record', 'first', 'avian', 'flu', 'outbreaks', 'in', 'poultry', 'WATTAgNet', 'Industry', 'News', '&', 'amp', ';', 'Trends', '.']"
13,The first human case of Marburg virus in West Africa is no surprise : here's why - The Conversation CA The first human case of Marburg virus in West Africa is no surprise : here's why The Conversation CA GPS devices on 20 bats in a Ugandan cave in 2018 as part of a research project to determine flight patterns and how they transmit Marburg virus to humans .,"['The', 'first', 'human', 'case', 'of', 'Marburg', 'virus', 'in', 'West', 'Africa', 'is', 'no', 'surprise', ':', ""here's"", 'why', '-', 'The', 'Conversation', 'CA', 'The', 'first', 'human', 'case', 'of', 'Marburg', 'virus', 'in', 'West', 'Africa', 'is', 'no', 'surprise', ':', ""here's"", 'why', 'The', 'Conversation', 'CA', 'GPS', 'devices', 'on', '20', 'bats', 'in', 'a', 'Ugandan', 'cave', 'in', '2018', 'as', 'part', 'of', 'a', 'research', 'project', 'to', 'determine', 'flight', 'patterns', 'and', 'how', 'they', 'transmit', 'Marburg', 'virus', 'to', 'humans', '.']"
14,"In most people , RSV causes nothing more than cold - like misery , such as a runny nose and cough .","['In', 'most', 'people', ',', 'RSV', 'causes', 'nothing', 'more', 'than', 'cold', '-', 'like', 'misery', ',', 'such', 'as', 'a', 'runny', 'nose', 'and', 'cough', '.']"
