"@SammieLynnsMom @tg10781 ORG"
"Sunday DATE"
"GA GPE"
"Disney ORG"
"Disney World ORG"
"Vancouver GPE"
"January 11th DATE"
"tonight TIME"
"RT @LilTwist ORG"
"Ustream GPE"
"later tonight TIME"
"@Hollly PERSON"
"16 b 17 CARDINAL"
"feb RT DATE"
"years DATE"
"Thursday DATE"
"First ORDINAL"
"Apollo ORG"
"tonight TIME"
"Chris O Rainy B Days PERSON"
"sunday DATE"
"Wolves PRODUCT"
"Lions ORG"
"20 years DATE"
"thursday DATE"
"keeep ORG"
"Today DATE"
"yesterday DATE"
"tonight TIME"
"September 17 , 2010 DATE"
"02:52 pm TIME"
"16:00 till TIME"
"61 CARDINAL"
"Sunday , October 10 DATE"
"12:00 pm TIME"
"04:00 pm TIME"
"61 CARDINAL"
"Morton PERSON"
"Murphy s Law @FLAM3Z130 ORG"
"half CARDINAL"
"half CARDINAL"
"RT ORG"
"today DATE"
"jedsweemonster GPE"
"paul simon PERSON"
"6th ORDINAL"
"Saturday , November 13 DATE"
"10:00 am to 01:00 pm TIME"
"Mark the Date PERSON"
"http://fb.me/JyYXPmql PERSON"
"a couple of days ago DATE"
"today DATE"
"The Bay LOC"
"Sunday DATE"
"GuitarNews ORG"
"RockHouse ORG"
"Sept . DATE"
"17th 2010 DATE"
"may this year DATE"
"Scotland GPE"
"about a year DATE"
"@MusicIsGood4U GPE"
"@shoewolf ORG"
"DM ORG"
"last day DATE"
"Stakes Day EVENT"
"second ORDINAL"
"one CARDINAL"
"the happiest day DATE"
"PG&lt ORG"
"35 CARDINAL"
"1day DATE"
"20 years ago DATE"
"AFL ORG"
"Sunday DATE"
"Halo Reach ORG"
"tonight TIME"
"Belgium GPE"
"7minutes before midnight TIME"
"5th ORDINAL"
"South 107 FAC"
"next Friday DATE"
"@eljmayes NORP"
"the last week DATE"
"@Zerinaakers ORG"
"Vh1 ORG"
"the end of the month DATE"
"Dick s Carpet ORG"
"Wat PERSON"
"today DATE"
"Danielle ily* PERSON"
"Dior ORG"
"first ORDINAL"
"http://bit.ly/9mY0NK EVENT"
"Ustream GPE"
"later tonight TIME"
"British NORP"
"@sfgiantsfan55 PERSON"
"Todo Cabio PERSON"
"alejate de mi ... ORG"
"9.13 CARDINAL"
"10 - 9.17 CARDINAL"
"This weeks DATE"
"the Week DATE"
"coupl ORG"
"Tdot ORG"
"ALWAYS ORG"
"tomorrow DATE"
"3 CARDINAL"
"yeah~ PERSON"
"Friday DATE"
"Quotealicious Exclusive PERSON"
"Steve King PERSON"
"ObamaCare PERSON"
"Tea Party ORG"
"Constitution Day EVENT"
"the Tenth Amendment LAW"
"Thnx DATE"
"Breyer PERSON"
"Atlas Shrugs ORG"
"tomorrow afternoon TIME"
"Friday DATE"
"night TIME"
"jus ORG"
"today DATE"
"Friday DATE"
"APO ORG"
"tomorrow 10-12 DATE"
"Every seven years DATE"
"around half CARDINAL"
"Seattle GPE"
"http://www.officetally.com/rainn-wilson-and-friends-seattle-oct-23 LANGUAGE"
"Sept 9 DATE"
"SCM ORG"
"about 10 days DATE"
"Delmar GPE"
"Kirkwood &amp ORG"
"Pepsi ORG"
"Nokia ORG"
"tip van iemand PERSON"
"vorige PERSON"
"begonnen ORG"
"een whiskydieet PERSON"
"hij PERSON"
"nu al 3 PERSON"
"Dems NORP"
"GOP ORG"
"AP ORG"
"Yahoo ORG"
"@mo9x ORG"
"Next year DATE"
"late tonight TIME"
"1 hr TIME"
"Demos ORG"
"03:00 TIME"
"BCAT PERSON"
"@BlissyCakes PERSON"
"BLU ORG"
"90 CARDINAL"
"oldskool night TIME"
"Beijinhos GPE"
"seus viciados PERSON"
"DC GPE"
"tonight TIME"
"6th ORDINAL"
"St Nw Dc FAC"
"Linny Linny Linny PERSON"
"weeks DATE"
"this &gt &gt International Observe the Moon Night ORG"
"9/18/2010 CARDINAL"
"Saturday , Sep 18 DATE"
"cuboulder PRODUCT"
"one extra day DATE"
"Sunday DATE"
"tomrrw PERSON"
"Kent PERSON"
"@joshHnumber1fan PERSON"
"one day DATE"
"http://bit.ly/9XQgSr PERSON"
"today DATE"
"Friday DATE"
"tip van iemand PERSON"
"vorige PERSON"
"begonnen ORG"
"een whiskydieet PERSON"
"hij PERSON"
"nu al 3 PERSON"
"Zac Brown PERSON"
"40 days DATE"
"100 CARDINAL"
"September 21 DATE"
"2010Buy CARDINAL"
"$ 18.98 $ MONEY"
"http://amzn.to/9Cfkpc ORG"
"the day DATE"
"goddddd PERSON"
"friday DATE"
"XD PERSON"
"tomorrow DATE"
"Nijverdal GPE"
"10th ORDINAL"
"Rza PERSON"
"a day DATE"
"first ORDINAL"
"this week DATE"
"3 CARDINAL"
"one CARDINAL"
"WoW PRODUCT"
"Kristen PERSON"
"today DATE"
"Robert PERSON"
"tonight TIME"
"Jersey Shore GPE"
"@BPadalecki1990 ORG"
"hun PERSON"
"english LANGUAGE"
"next year DATE"
"Bush PERSON"
"past November DATE"
"http://bit.ly/9y8fdS Dollar ORG"
"a month DATE"
"St Johns GPE"
"baq da PERSON"
"Michael PERSON"
"JOY ORG"
"17:00 TIME"
"Friday DATE"
"weekend DATE"
"3 & MONEY"
"3 CARDINAL"
"Greenville GPE"
"Greenville GPE"
"AL GPE"
"months DATE"
"#metropcs # MONEY"
"JavaMonkeys PRODUCT"
"8 CARDINAL"
"The week DATE"
"every week DATE"
"yesterday DATE"
"21:00 TIME"
"karam GPE"
"today DATE"
"December DATE"
"@Johnterrysbabe PERSON"
"cht tumoz PERSON"
"Marvin Gaye Day PERSON"
"3 CARDINAL"
"3 CARDINAL"
"FullHouse GPE"
"that day DATE"
"2 CARDINAL"
"1 CARDINAL"
"@joshbuisch ORG"
"# CARDINAL"
"the day DATE"
"$$ #forex # MONEY"
"http://www.forexcrunch.com/forex-articles-for-the-weekend-september-18lo/ GPE"
"Flikken PRODUCT"
"geweldig GPE"
"Ik kan niet wachten tot de nieuwe serie PERSON"
"november DATE"
"geloof ik PERSON"
"Dit jaar PERSON"
"gezien via ORG"
"Imma Still Be Rockin Out ORG"
"Cowboy Mouth PRODUCT"
"tonight TIME"
"@CWWatson ORG"
"the day DATE"
"RT @fredthompson PERSON"
"George N PERSON"
"Parks PERSON"
"UMass ORG"
"Ohio GPE"
"George N PERSON"
"Parks PERSON"
"33 years DATE"
"Sept 9 DATE"
"SCM ORG"
"about 10 days DATE"
"tonight TIME"
"@jeffstinco ORG"
"spcrew PERSON"
"Hurry PERSON"
"Santy PERSON"
"2 days DATE"
"Eskorte ORG"
"Mothers Day DATE"
"every week DATE"
"Chevron ORG"
"years DATE"
"Patty s Day Party ORG"
"Tonight TIME"
"980 CARDINAL"
"Sweet PERSON"
"http://nyti.ms/bW0N3u RT @BiebersFairies ORG"
"Justin Bieber PERSON"
"a rainy day DATE"
"bad day DATE"
"merek minuman sachet PERSON"
"October 7th DATE"
"Gainesville GPE"
"Costa Lounge ORG"
"all week DATE"
"tomorrow DATE"
"Greenville GPE"
"OH GPE"
"Belfast GPE"
"this weekend DATE"
"Botanic Gdns NORP"
"Sun RT @TeamVA ORG"
"81 Days DATE"
"Today DATE"
"tomorrow DATE"
"Sept 25 DATE"
"CANWEST Center for Theater and Film U of W ROOM ORG"
"11:30 am - 04:00 PM TIME"
"tomorrow DATE"
"RT PERSON"
"tonight TIME"
"2mmrow & MONEY"
"@jimmy722 NORP"
"a year ago DATE"
"3 days DATE"
"today DATE"
"Home ORG"
"Microsoft ORG"
"Friday DATE"
"Valentines Day DATE"
"Kyle PERSON"
"June DATE"
"August DATE"
"tonight TIME"
"1 day DATE"
"today DATE"
"@DahlDana ooooh ORG"
"Jaybilizer PERSON"
"today DATE"
"http://jaybilizer.com/products/jaybilizer-hdslr/ RT @DGCLEAN PERSON"
