,tweets_tok,ner_BIO_full,tweets_full_text,ner_BIO_full_text
0,"['@SammieLynnsMom', '@tg10781', 'they', 'will', 'be', 'all', 'done', 'by', 'Sunday', 'trust', 'me', '*wink*']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",@SammieLynnsMom @tg10781 they will be all done by Sunday trust me *wink*,O O O O O O O O O O O O
1,"['Made', 'it', 'back', 'home', 'to', 'GA', '.', 'It', 'sucks', 'not', 'to', 'be', 'at', 'Disney', 'world', ',', 'but', 'its', 'good', 'to', 'be', 'home', '.', 'Time', 'to', 'start', 'planning', 'the', 'next', 'Disney', 'World', 'trip', '.']","['O', 'O', 'O', 'O', 'O', 'B-geo-loc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-facility', 'I-facility', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-facility', 'I-facility', 'O', 'O']","Made it back home to GA . It sucks not to be at Disney world , but its good to be home . Time to start planning the next Disney World trip .",O O O O O B-geo-loc O O O O O O O B-facility I-facility O O O O O O O O O O O O O O B-facility I-facility O O
2,"[""'"", 'Breaking', 'Dawn', ""'"", 'Returns', 'to', 'Vancouver', 'on', 'January', '11th', 'http://bit.ly/dbDMs8']","['O', 'B-movie', 'I-movie', 'O', 'O', 'O', 'B-geo-loc', 'O', 'O', 'O', 'O']",' Breaking Dawn ' Returns to Vancouver on January 11th http://bit.ly/dbDMs8,O B-movie I-movie O O O B-geo-loc O O O O
3,"['@ls_n', 'perhaps', ',', 'but', 'folks', 'may', 'find', 'something', 'in', 'the', 'gallery', 'that', 'is', 'helpful', 'in', 'their', 'day-to-day', 'work', 'as', 'well', '.', 'Even', 'just', 'to', 'use', 'it', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","@ls_n perhaps , but folks may find something in the gallery that is helpful in their day-to-day work as well . Even just to use it .",O O O O O O O O O O O O O O O O O O O O O O O O O O O
4,"['@Carr0t', 'aye', 'been', 'tonight', '-', 'excellent']","['O', 'O', 'O', 'O', 'O', 'O']",@Carr0t aye been tonight - excellent,O O O O O O
5,"['RT', '@LilTwist', ':', 'RT', 'this', 'if', 'you', 'want', 'me', 'to', 'go', 'back', 'live', 'on', 'Ustream', 'later', 'tonight']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-company', 'O', 'O']",RT @LilTwist : RT this if you want me to go back live on Ustream later tonight,O O O O O O O O O O O O O O B-company O O
6,"['@Hollly_', '16', 'b', '17', 'in', 'feb']","['O', 'O', 'O', 'O', 'O', 'O']",@Hollly_ 16 b 17 in feb,O O O O O O
7,"['RT', '@obsidianchao', ':', 'OF', 'FUCKING', 'COURSE', '.', 'I', 'GET', 'HOME', 'AND', 'MY', 'BROTHER', 'IS', 'ON', 'THE', 'MOTHER', 'FUCKING', 'XBOX', '.', 'Worst', 'fucking', 'day', 'ever', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O']",RT @obsidianchao : OF FUCKING COURSE . I GET HOME AND MY BROTHER IS ON THE MOTHER FUCKING XBOX . Worst fucking day ever .,O O O O O O O O O O O O O O O O O O B-product O O O O O O
8,"['I', ""haven't"", 'driven', 'to', 'bc', 'in', 'years', ',', 'and', 'I', 'am', 'just', 'stunned', 'by', 'how', 'beautiful', 'the', 'drive', 'is', '.']","['O', 'O', 'O', 'O', 'B-geo-loc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","I haven't driven to bc in years , and I am just stunned by how beautiful the drive is .",O O O O B-geo-loc O O O O O O O O O O O O O O O
9,"['@daraobriain', 'hmmm', '.', 'Cant', 'wait', '.', 'Comin', 'on', 'Thursday', '.', 'First', 'time', 'to', 'the', 'Apollo', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-facility', 'I-facility', 'O']",@daraobriain hmmm . Cant wait . Comin on Thursday . First time to the Apollo .,O O O O O O O O O O O O O B-facility I-facility O
