,sequences,labels,sequence_tok,ner_BIO_full,ner_BIO_full_0.05,ner_BIO_full_0.1,ner_BIO_full_0.15,ner_BIO_full_0.2
0,"Jakarta ( ANTARA ) - as many as 419 confirmed patients positive COVID-19 in COVID-19 Wisma athlete Kemayoran , Central Jakarta to date , still undergoing maintenance or hospitalization .","B-location O B-organization O O O O O B-person I-person I-person O B-disease O B-disease B-location O B-location I-location I-location I-location O O O O O O O O O
","['Jakarta', '(', 'ANTARA', ')', '-', 'as', 'many', 'as', '419', 'confirmed', 'patients', 'positive', 'COVID-19', 'in', 'COVID-19', 'Wisma', 'athlete', 'Kemayoran', ',', 'Central', 'Jakarta', 'to', 'date', ',', 'still', 'undergoing', 'maintenance', 'or', 'hospitalization', '.']","['B-location', 'O', 'B-organization', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'B-disease', 'O', 'B-disease', 'B-location', 'O', 'B-location', 'I-location', 'I-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-location', 'O', 'B-organization', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'B-disease', 'O', 'B-disease', 'B-location', 'O', 'B-location', 'I-location', 'I-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-location', 'O', 'B-virus', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'B-disease', 'O', 'B-disease', 'B-location', 'O', 'B-location', 'I-location', 'I-organization', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-virus', 'I-organization', 'B-organization', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'B-symptom', 'B-disease', 'O', 'B-disease', 'B-location', 'O', 'B-location', 'I-location', 'I-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-location', 'O', 'B-organization', 'B-virus', 'I-organization', 'O', 'O', 'O', 'B-symptom', 'I-location', 'I-organization', 'I-symptom', 'B-disease', 'O', 'B-virus', 'B-location', 'I-bacterium', 'B-location', 'B-location', 'I-location', 'I-location', 'B-location', 'I-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,"Australian Associated Press Qld lashes NSW govt ' crazies ' over virus The Queensland government has lashed out at its NSW and federal counterparts , saying they are "" chock full of crazies "" trying to force open the country regardless of the health consequences .","B-organization I-organization I-organization O O B-organization I-organization O O O O B-virus O B-organization I-organization O O O O O B-location O O O O O O O O O O O O O O O O O O O O O O O O O
","['Australian', 'Associated', 'Press', 'Qld', 'lashes', 'NSW', 'govt', ""'"", 'crazies', ""'"", 'over', 'virus', 'The', 'Queensland', 'government', 'has', 'lashed', 'out', 'at', 'its', 'NSW', 'and', 'federal', 'counterparts', ',', 'saying', 'they', 'are', '""', 'chock', 'full', 'of', 'crazies', '""', 'trying', 'to', 'force', 'open', 'the', 'country', 'regardless', 'of', 'the', 'health', 'consequences', '.']","['B-organization', 'I-organization', 'I-organization', 'O', 'O', 'B-organization', 'I-organization', 'O', 'O', 'O', 'O', 'B-virus', 'O', 'B-organization', 'I-organization', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-organization', 'I-organization', 'I-organization', 'O', 'O', 'B-organization', 'I-organization', 'O', 'O', 'O', 'O', 'B-virus', 'O', 'B-organization', 'I-organization', 'O', 'O', 'O', 'B-virus', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'I-organization', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-organization', 'I-organization', 'I-organization', 'O', 'O', 'B-organization', 'I-organization', 'O', 'O', 'O', 'B-symptom', 'B-virus', 'O', 'B-organization', 'I-organization', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-organization', 'I-organization', 'I-organization', 'I-organization', 'O', 'B-organization', 'I-organization', 'O', 'O', 'O', 'O', 'B-virus', 'O', 'B-organization', 'I-organization', 'O', 'O', 'I-symptom', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'B-virus', 'I-bacterium', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-disease', 'O', 'O', 'O']","['B-organization', 'I-organization', 'I-organization', 'O', 'I-disease', 'B-organization', 'I-organization', 'O', 'O', 'O', 'O', 'B-virus', 'B-virus', 'B-organization', 'I-organization', 'O', 'O', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'O', 'O', 'I-product', 'O', 'O', 'O', 'O', 'O', 'I-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-disease', 'B-bacterium', 'O', 'O', 'O', 'O']"
2,The city also closed its sights and asked all tourists to take three nucleic acid tests before leaving the city .,"O O O O O O O O O B-person O O O O O O O O O O O
","['The', 'city', 'also', 'closed', 'its', 'sights', 'and', 'asked', 'all', 'tourists', 'to', 'take', 'three', 'nucleic', 'acid', 'tests', 'before', 'leaving', 'the', 'city', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-symptom', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'I-organization', 'O', 'O', 'O', 'O', 'O', 'O', 'I-symptom', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'I-disease', 'O', 'O', 'O', 'O', 'B-virus', 'O', 'O', 'B-person', 'O', 'B-disease', 'I-product', 'I-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disease', 'O', 'B-person', 'I-location', 'O', 'O', 'O', 'O', 'B-symptom', 'O', 'O', 'O', 'O', 'O']"
3,"We suspect that the sudden rise in cases could be due to the rains which can be a carrier , since most animals come in contact with contaminated water .","O O O O O O O O O O O O O O O O O O O O O O B-animal O O O O O O O
","['We', 'suspect', 'that', 'the', 'sudden', 'rise', 'in', 'cases', 'could', 'be', 'due', 'to', 'the', 'rains', 'which', 'can', 'be', 'a', 'carrier', ',', 'since', 'most', 'animals', 'come', 'in', 'contact', 'with', 'contaminated', 'water', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-animal', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-organization', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-symptom', 'O', 'O', 'O', 'B-animal', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-virus', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-bacterium', 'B-animal', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-location', 'O', 'I-disease', 'B-bacterium', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-animal', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-person', 'O', 'O', 'O', 'O', 'I-bacterium', 'O', 'O', 'O', 'O', 'B-symptom', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-disease', 'O', 'O', 'I-virus', 'I-symptom', 'O', 'O', 'O']"
4,Noel Lyn Smith covers the Navajo Nation for The Daily Times .,"B-person I-person I-person O O B-organization I-organization O B-organization I-organization I-organization O
","['Noel', 'Lyn', 'Smith', 'covers', 'the', 'Navajo', 'Nation', 'for', 'The', 'Daily', 'Times', '.']","['B-person', 'I-person', 'I-person', 'O', 'O', 'B-organization', 'I-organization', 'O', 'B-organization', 'I-organization', 'I-organization', 'O']","['B-person', 'I-person', 'I-person', 'O', 'O', 'B-organization', 'I-organization', 'O', 'B-organization', 'B-virus', 'I-organization', 'O']","['B-person', 'I-person', 'I-person', 'B-location', 'O', 'B-organization', 'I-organization', 'O', 'B-organization', 'I-organization', 'I-organization', 'O']","['B-person', 'I-person', 'I-person', 'O', 'I-location', 'B-organization', 'I-organization', 'O', 'B-organization', 'B-symptom', 'I-organization', 'O']","['B-virus', 'I-person', 'I-person', 'O', 'O', 'B-organization', 'B-symptom', 'O', 'B-organization', 'I-organization', 'I-organization', 'O']"
5,"Five states in the United States have less than 10 percent of the capacity remaining in critical care beds , including the states of Alamama , Georgia , Texas , Florida , and Arkansas , CNN reported .","O O O O B-location I-location O O O O O O O O O O B-product I-product I-product O O O O O B-location O B-location O B-location O B-location O O B-location O B-organization O O
","['Five', 'states', 'in', 'the', 'United', 'States', 'have', 'less', 'than', '10', 'percent', 'of', 'the', 'capacity', 'remaining', 'in', 'critical', 'care', 'beds', ',', 'including', 'the', 'states', 'of', 'Alamama', ',', 'Georgia', ',', 'Texas', ',', 'Florida', ',', 'and', 'Arkansas', ',', 'CNN', 'reported', '.']","['O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-location', 'O', 'B-location', 'O', 'B-location', 'O', 'O', 'B-location', 'O', 'B-organization', 'O', 'O']","['O', 'O', 'O', 'O', 'B-location', 'I-bacterium', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-location', 'O', 'B-location', 'O', 'B-location', 'O', 'O', 'B-location', 'O', 'B-organization', 'O', 'O']","['O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'I-disease', 'O', 'O', 'O', 'O', 'I-disease', 'O', 'O', 'O', 'B-product', 'I-product', 'I-product', 'O', 'B-virus', 'O', 'O', 'O', 'B-location', 'O', 'B-location', 'O', 'B-location', 'O', 'B-location', 'O', 'O', 'B-location', 'O', 'B-organization', 'O', 'O']","['O', 'O', 'O', 'B-person', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-bacterium', 'I-product', 'I-product', 'O', 'O', 'O', 'B-symptom', 'O', 'B-location', 'O', 'B-location', 'O', 'B-location', 'O', 'B-location', 'O', 'O', 'O', 'I-disease', 'I-virus', 'O', 'O']","['O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'I-product', 'I-product', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'B-product', 'O', 'O', 'O', 'O', 'O', 'I-location', 'O', 'B-location', 'O', 'I-animal', 'O', 'B-location', 'O', 'O', 'B-location', 'O', 'B-organization', 'O', 'O']"
6,"The Mobil is connected to a positive case who was there from 11.59pm and 12.15am on Friday , August 27 ( and subsequently Saturday , August 28 ) .","O B-organization O O O O B-person I-person O O O O B-time I-time I-time O B-time I-time I-time I-time O O O B-time I-time I-time I-time O O
","['The', 'Mobil', 'is', 'connected', 'to', 'a', 'positive', 'case', 'who', 'was', 'there', 'from', '11.59pm', 'and', '12.15am', 'on', 'Friday', ',', 'August', '27', '(', 'and', 'subsequently', 'Saturday', ',', 'August', '28', ')', '.']","['O', 'B-organization', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'B-time', 'I-time', 'I-time', 'O', 'B-time', 'I-time', 'I-time', 'I-time', 'O', 'O', 'O', 'B-time', 'I-time', 'I-time', 'I-time', 'O', 'O']","['O', 'B-organization', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'B-time', 'I-time', 'I-time', 'O', 'B-time', 'I-time', 'I-time', 'I-time', 'O', 'O', 'O', 'B-time', 'I-time', 'I-time', 'I-time', 'O', 'O']","['O', 'B-organization', 'O', 'O', 'B-disease', 'O', 'B-person', 'I-person', 'O', 'I-product', 'O', 'O', 'B-time', 'I-time', 'I-time', 'O', 'B-time', 'I-time', 'I-time', 'I-time', 'O', 'O', 'O', 'B-time', 'I-time', 'I-time', 'I-time', 'O', 'O']","['I-symptom', 'B-organization', 'O', 'B-virus', 'O', 'O', 'B-person', 'I-person', 'O', 'B-symptom', 'O', 'O', 'B-time', 'I-time', 'I-time', 'O', 'B-time', 'I-time', 'I-product', 'I-product', 'O', 'O', 'O', 'B-time', 'I-time', 'I-time', 'I-time', 'O', 'O']","['O', 'B-animal', 'O', 'O', 'O', 'I-organization', 'B-person', 'B-animal', 'O', 'O', 'O', 'O', 'B-virus', 'I-time', 'B-product', 'O', 'B-time', 'I-time', 'I-time', 'I-time', 'I-disease', 'O', 'O', 'B-time', 'I-time', 'I-time', 'I-time', 'O', 'O']"
7,""" We regret the need for this decision , which is based upon a small number of positive cases within our squad .","O O O O O O O O O O O O O O O O O O O O O O O
","['""', 'We', 'regret', 'the', 'need', 'for', 'this', 'decision', ',', 'which', 'is', 'based', 'upon', 'a', 'small', 'number', 'of', 'positive', 'cases', 'within', 'our', 'squad', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'I-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-disease', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'I-disease', 'O']","['O', 'O', 'O', 'O', 'B-product', 'I-location', 'O', 'I-animal', 'O', 'O', 'O', 'O', 'O', 'B-animal', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-organization']","['I-time', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-animal', 'O', 'I-person', 'O', 'O', 'O', 'B-person', 'O']"
8,"Health care personnel accused the local government of inaction leading to the state's current dire situation , saying that if the local government does not take action again , the state's hospital could face a "" serious crisis "" and even a "" rationing "" of limited medical resources .","B-person I-person I-person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
","['Health', 'care', 'personnel', 'accused', 'the', 'local', 'government', 'of', 'inaction', 'leading', 'to', 'the', ""state's"", 'current', 'dire', 'situation', ',', 'saying', 'that', 'if', 'the', 'local', 'government', 'does', 'not', 'take', 'action', 'again', ',', 'the', ""state's"", 'hospital', 'could', 'face', 'a', '""', 'serious', 'crisis', '""', 'and', 'even', 'a', '""', 'rationing', '""', 'of', 'limited', 'medical', 'resources', '.']","['B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-person', 'I-person', 'I-person', 'O', 'B-virus', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'O', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'B-bacterium', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-person', 'I-person', 'I-person', 'O', 'B-animal', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-virus', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'I-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-time', 'B-animal', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-time', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'I-time', 'O', 'O', 'I-animal', 'I-disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-bacterium', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-time', 'I-time', 'I-location', 'B-location', 'O', 'O', 'O', 'O', 'O', 'B-time', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O']"
9,The Mayor of Eri also once again invite all elements of society in order to maintain the discipline of applying health protocol ( case ) .,"O B-person I-person I-person O O O O O O O O O O O O O O O O O O O O O O
","['The', 'Mayor', 'of', 'Eri', 'also', 'once', 'again', 'invite', 'all', 'elements', 'of', 'society', 'in', 'order', 'to', 'maintain', 'the', 'discipline', 'of', 'applying', 'health', 'protocol', '(', 'case', ')', '.']","['O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-disease', 'O', 'O', 'O', 'O']","['O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-symptom', 'O', 'B-person', 'O', 'O', 'O', 'O', 'I-bacterium', 'O']","['O', 'I-person', 'I-person', 'I-person', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'B-time', 'O', 'O', 'O', 'O', 'O', 'I-time', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-animal', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-time', 'O', 'I-location', 'B-organization', 'I-time', 'O', 'O', 'O', 'B-virus', 'O', 'O', 'B-time']"
